pi	EigenGWAS
Solyc01g106090	Solyc02g092090
Solyc01g106100	Solyc02g092100
Solyc01g106120	Solyc02g092110
Solyc01g106110	Solyc02g092120
Solyc01g106130	Solyc02g092130
Solyc01g106140	Solyc02g092140
Solyc01g106150	Solyc02g092150
Solyc01g106160	Solyc02g092160
Solyc01g106170	Solyc02g092170
Solyc01g106180	Solyc02g092180
Solyc01g106190	Solyc02g092190
Solyc01g106200	Solyc02g092200
Solyc01g106210	Solyc02g092210
Solyc01g106220	Solyc02g092220
Solyc01g106230	Solyc02g092230
Solyc01g106240	Solyc02g092980
Solyc01g106250	Solyc02g092990
Solyc01g106260	Solyc02g093000
Solyc01g106270	Solyc02g093010
Solyc01g106280	Solyc02g093020
Solyc01g106290	Solyc02g093030
Solyc01g106300	Solyc02g093040
